sku,pd_instock,pd_instock_qty,pd_restock_date,pd_restock_qty,pd_status,pd_discontinued
Pmp00238,yes,82,5/5/2024,38,disabled,no
Pms000xs,yes,57,5/6/2024,75,inactive,no
Pms000s,no,67,5/7/2024,73,active,yes
Pms000m,no,65,5/8/2024,33,inactive,no
Pms000l,no,96,5/9/2024,61,enabled,no
Pms000xl,yes,62,5/10/2024,100,inactive,no
Pms002xs,no,11,5/11/2024,55,enabled,no
Pms002s,no,51,5/12/2024,15,enabled,yes
Pms002m,no,38,5/13/2024,99,enabled,no
Pms002l,yes,95,5/14/2024,29,enabled,no
Pms002xl,yes,31,5/15/2024,6,active,yes
Pms003xs,no,50,5/16/2024,83,enabled,yes
Pms003s,yes,97,5/17/2024,23,enabled,yes
Pms003m,no,10,5/18/2024,45,active,no
Pms003l,no,63,5/19/2024,82,active,yes
Pms003xl,no,58,5/20/2024,60,active,yes
Pms004xs,no,67,5/21/2024,34,disabled,yes
Pms004s,no,83,5/22/2024,6,disabled,yes
Pms004m,yes,73,5/23/2024,5,active,no
Pms004l,no,93,5/24/2024,18,disabled,no
Pms004xl,yes,84,5/25/2024,49,active,no
Pms005xs,no,10,5/26/2024,37,disabled,yes
Pms005s,yes,35,5/27/2024,41,enabled,no
Pms005m,no,17,5/28/2024,29,disabled,no
Pms005l,no,17,5/29/2024,55,inactive,yes
Pms005xl,yes,7,5/30/2024,96,active,no
Pmtk000xs,yes,40,5/31/2024,35,enabled,no
Pmtk000s,yes,62,6/1/2024,62,active,no
Pmtk000m,no,11,6/2/2024,26,disabled,no
Pmtk000l,no,13,6/3/2024,89,inactive,yes
Pmtk000xl,no,25,6/4/2024,68,disabled,yes
Pmtk001xs,yes,59,6/5/2024,74,active,no
Pmtk001s,no,11,6/6/2024,20,disabled,no
Pmtk001m,yes,48,6/7/2024,73,enabled,yes
Pmtk001l,no,74,6/8/2024,1,disabled,no
Pmtk001xl,no,73,6/9/2024,82,disabled,yes
Pmtk004xs,no,29,6/10/2024,92,active,yes
Pmtk004s,yes,8,6/11/2024,21,disabled,no
Pmtk004m,no,88,6/12/2024,2,disabled,yes
Pmtk004l,no,53,6/13/2024,89,enabled,no
Pmtk004xl,yes,1,6/14/2024,79,disabled,yes
Pmtk005xs,no,43,6/15/2024,14,disabled,no
Pmtk005s,no,92,6/16/2024,76,active,no
Pmtk005m,no,15,6/17/2024,12,enabled,yes
Pmtk005l,yes,9,6/18/2024,37,active,yes
Pmtk005xl,yes,86,6/19/2024,61,active,yes
Pmtk006xs,yes,69,6/20/2024,48,active,no
Pmtk006s,yes,20,6/21/2024,17,active,no
Pmtk006m,no,65,6/22/2024,17,enabled,no
Pmtk006l,yes,33,6/23/2024,39,enabled,no
Pmtk006xl,yes,61,6/24/2024,82,inactive,yes
Pwb00026,no,88,6/25/2024,58,enabled,no
Pwb00027,yes,27,6/26/2024,40,enabled,yes
Pwb00028,yes,38,6/27/2024,69,active,yes
Pwb00029,no,15,6/28/2024,96,active,yes
Pwb00030,yes,52,6/29/2024,90,active,yes
Pwb00031,no,63,6/30/2024,15,enabled,no
Pwb00032,yes,78,7/1/2024,83,inactive,yes
Pwb00126,no,84,7/2/2024,26,enabled,no
Pwb00127,yes,75,7/3/2024,34,disabled,no
Pwb00128,yes,92,7/4/2024,68,disabled,yes
Pwb00129,yes,17,7/5/2024,92,active,yes
Pwb00130,yes,34,7/6/2024,34,disabled,yes
Pwb00131,no,37,7/7/2024,9,disabled,no
Pwb00132,no,79,7/8/2024,42,disabled,no
Pwb0030,yes,93,7/9/2024,45,enabled,no
Pwb0032,no,51,7/10/2024,70,disabled,yes
Pwb0034,no,71,7/11/2024,56,active,yes
Pwb0036,no,39,7/12/2024,3,enabled,no
Pwb0038,yes,20,7/13/2024,1,inactive,no
Pwb00310,no,13,7/14/2024,31,inactive,no
Pwb00312,yes,6,7/15/2024,10,disabled,no
Pwb00526,yes,55,7/16/2024,18,active,yes
Pwb00527,no,72,7/17/2024,37,active,no
Pwb00528,yes,100,7/18/2024,61,enabled,no
Pwb00529,yes,73,7/19/2024,44,active,no
Pwb00530,yes,36,7/20/2024,9,active,no
Pwb00531,yes,34,7/21/2024,77,active,yes
Pwb00532,no,6,7/22/2024,99,enabled,yes
Pwb00626,no,100,7/23/2024,48,active,no
Pwb00627,no,22,7/24/2024,42,active,no
Pwb00628,yes,28,7/25/2024,78,active,yes
Pwb00629,yes,16,7/26/2024,75,enabled,yes
Pwb00630,yes,61,7/27/2024,13,active,yes
Pwb00631,no,62,7/28/2024,87,active,no
Pwb00632,no,59,7/29/2024,29,inactive,no
Pwd0000,yes,88,7/30/2024,56,enabled,no
Pwd0002,yes,44,7/31/2024,14,enabled,yes
Pwd0004,yes,30,8/1/2024,89,active,no
Pwd0006,no,27,8/2/2024,86,active,yes
Pwd0008,yes,6,8/3/2024,85,disabled,yes
Pwd00010,yes,33,8/4/2024,54,enabled,no
Pwd00012,no,22,8/5/2024,22,enabled,no
Pwd0010,no,92,8/6/2024,42,active,yes
Pwd0012,no,39,8/7/2024,98,inactive,yes
Pwd0014,no,92,8/8/2024,30,disabled,yes
Pwd0016,no,34,8/9/2024,64,disabled,yes
Pwd0018,no,37,8/10/2024,99,active,no
Pwd00110,no,77,8/11/2024,6,active,no
Pwd00112,no,58,8/12/2024,88,inactive,yes
