part_number,lv_instock,lv_instock_qty,lv_restock_date,lv_restock_qty,lv_status,lv_discontinued
msj003xl,yes,19,5/5/2024,50,disabled,yes
msj006xl,yes,89,5/6/2024,73,disabled,yes
msj006xs,no,41,5/7/2024,58,enabled,no
msj009xs,yes,65,5/8/2024,86,disabled,yes
msj009xl,yes,67,5/9/2024,99,inactive,no
msj012xs,yes,36,5/10/2024,6,disabled,yes
msj012xl,no,70,5/11/2024,91,active,yes
msj015xs,no,73,5/12/2024,93,disabled,yes
msj015xl,no,31,5/13/2024,6,active,yes
wbk000xs,no,73,5/14/2024,71,enabled,yes
wbk000xl,yes,85,5/15/2024,74,inactive,yes
wbk003xs,no,89,5/16/2024,71,active,yes
wbk003xl,no,1,5/17/2024,79,inactive,yes
wbk006xs,no,56,5/18/2024,66,disabled,yes
wbk006xl,no,18,5/19/2024,96,enabled,no
wbk009xs,no,77,5/20/2024,40,inactive,yes
wbk009xl,yes,56,5/21/2024,74,inactive,yes
wbk012xs,yes,88,5/22/2024,73,disabled,no
wbk012xl,yes,9,5/23/2024,25,enabled,yes
wpd00526,no,11,5/24/2024,31,enabled,no
wpd00527,no,18,5/25/2024,91,enabled,no
wpd00528,no,80,5/26/2024,60,enabled,yes
wpd00529,no,72,5/27/2024,24,enabled,yes
wpd00530,no,80,5/28/2024,97,active,yes
wpd00531,no,77,5/29/2024,74,disabled,no
wpd00532,yes,9,5/30/2024,58,active,no
wpd00026,yes,25,5/31/2024,53,disabled,no
wpd00027,no,17,6/1/2024,9,active,yes
wpd00028,no,52,6/2/2024,57,active,yes
wpd00029,yes,69,6/3/2024,41,enabled,yes
wpd00030,no,46,6/4/2024,37,inactive,yes
wpd00031,no,92,6/5/2024,56,enabled,no
wpd00032,no,62,6/6/2024,5,enabled,no
wpd01010,yes,32,6/7/2024,22,active,yes
wpd0108,yes,76,6/8/2024,65,active,yes
wpd0106,yes,19,6/9/2024,62,active,yes
wpd0104,no,82,6/10/2024,39,inactive,yes
wpd01012,no,89,6/11/2024,38,active,no
wsd005xs,yes,35,6/12/2024,59,enabled,no
wsd005xl,yes,43,6/13/2024,23,disabled,yes
Pmo000xs,no,91,6/14/2024,81,active,yes
Pmo000s,no,82,6/15/2024,34,inactive,no
Pmo000m,no,23,6/16/2024,51,enabled,no
Pmo000l,yes,73,6/17/2024,96,enabled,no
Pmo000xl,no,61,6/18/2024,21,active,yes
Pmo001xs,no,86,6/19/2024,85,disabled,yes
Pmo001s,yes,100,6/20/2024,80,enabled,yes
Pmo001m,no,33,6/21/2024,99,enabled,no
Pmo001l,no,18,6/22/2024,94,disabled,no
Pmo001xl,no,20,6/23/2024,90,inactive,yes
Pmo002xs,yes,90,6/24/2024,73,inactive,yes
Pmo002s,yes,97,6/25/2024,52,disabled,no
Pmo002m,yes,61,6/26/2024,81,inactive,yes
Pmo002l,yes,50,6/27/2024,76,active,yes
Pmo002xl,yes,93,6/28/2024,27,enabled,no
Pmp00028,no,10,6/29/2024,77,disabled,yes
Pmp00030,yes,5,6/30/2024,63,enabled,yes
Pmp00031,no,36,7/1/2024,94,disabled,yes
Pmp00032,no,97,7/2/2024,77,inactive,yes
Pmp00034,no,16,7/3/2024,66,active,yes
Pmp00036,no,47,7/4/2024,78,enabled,yes
Pmp00038,yes,61,7/5/2024,95,disabled,no
Pmp00128,no,9,7/6/2024,40,enabled,no
Pmp00130,yes,9,7/7/2024,22,active,yes
Pmp00131,yes,99,7/8/2024,90,enabled,yes
Pmp00132,no,36,7/9/2024,11,disabled,no
Pmp00134,no,35,7/10/2024,48,inactive,yes
Pmp00136,no,25,7/11/2024,99,enabled,no
Pmp00138,yes,90,7/12/2024,89,disabled,yes
Pmp00228,no,56,7/13/2024,76,disabled,no
Pmp00230,no,78,7/14/2024,68,active,no
Pmp00231,no,46,7/15/2024,3,enabled,yes
Pmp00232,yes,52,7/16/2024,62,active,yes
Pmp00234,yes,20,7/17/2024,44,active,yes
Pmp00236,no,28,7/18/2024,20,disabled,no
