product_id,product_sku,competitor_name,competitor_url,competitor_sku
231,msj000,myntra,,
232,msj001,myntra,,
233,msj002,myntra,,
234,msj003,myntra,,
235,msj004,myntra,,
236,msj005,myntra,,
237,msj006,myntra,,
238,msj007,myntra,,
239,msj008,myntra,,
240,msj009,myntra,,
241,msj010,myntra,,
242,msj011,myntra,,
243,msj012,myntra,,
244,msj013,myntra,,
245,msj014,myntra,,
246,msj015,myntra,,
247,msj016,myntra,,
248,msj017,myntra,,
249,mtk000,myntra,,
250,mtk001,myntra,,
251,mtk002,myntra,,
252,mtk003,myntra,,
253,mtk004,myntra,,
254,mtk005,myntra,,
255,mtk006,myntra,,
256,mtk007,myntra,,
257,mtk008,myntra,,
258,mtk009,myntra,,
259,mtk010,myntra,,
260,mtk011,myntra,,
261,mtk012,myntra,,
262,mtk013,myntra,,
263,mtk014,myntra,,
267,mpd003,myntra,,
268,mpd004,myntra,,
269,mpd005,myntra,,
270,mpd006,myntra,,
271,mpd007,myntra,,
272,mpd008,myntra,,
273,mpd009,myntra,,
274,mpd010,myntra,,
275,mpd011,myntra,,
276,mpd012,myntra,,
277,mpd013,myntra,,
278,mpd014,myntra,,
279,mpd015,myntra,,
280,mpd016,myntra,,
281,mpd017,myntra,,
282,wbk000,myntra,,
283,wbk001,myntra,,
284,wbk002L,myntra,,
285,wbk003,myntra,,
286,wbk004,myntra,,
287,wbk005,myntra,,
288,wbk006,myntra,,
289,wbk007,myntra,,
290,wbk008,myntra,,
291,wbk009,myntra,,
292,wbk010,myntra,,
293,wbk011,myntra,,
294,wbk012,myntra,,
295,wbk013,myntra,,
296,wbk014,myntra,,
297,wsd000,myntra,,
298,wsd001,myntra,,
299,wsd002,myntra,,
300,wsd003,myntra,,
301,wsd004,myntra,,
302,wsd005,myntra,,
303,wsd006,myntra,,
304,wsd007,myntra,,
305,wsd008,myntra,,
306,wsd009,myntra,,
307,wsd010,myntra,,
308,wsd011,myntra,,
309,wsd012,myntra,,
310,wsd013,myntra,,
311,wsd014,myntra,,
312,wsd015,myntra,,
313,wsd016,myntra,,
314,wsd017,myntra,,
325,wpd010,myntra,,
326,wpd011,myntra,,
327,wpd012,myntra,,
328,wpd013,myntra,,
329,wpd014,myntra,,
337,ace000,myntra,,
338,ace001,myntra,,
339,ace002,myntra,,
340,aws000,myntra,,
341,aws001,myntra,,
342,aws002,myntra,,
343,aws003,myntra,,
344,aws004,myntra,,
345,aws005,myntra,,
346,aws006,myntra,,
347,aws007,myntra,,
348,aws008,myntra,,
349,aws009,myntra,,
350,aws010,myntra,,
351,aws011,myntra,,
352,aws012,myntra,,
353,aws013,myntra,,
354,aws014,myntra,,
355,ams000,myntra,,
356,ams001,myntra,,
357,ams002,myntra,,
358,ams003,myntra,,
359,ams004,myntra,,
360,ams005,myntra,,
361,ams006,myntra,,
362,ams007,myntra,,
363,ams008,myntra,,
364,ams009,myntra,,
365,ams010,myntra,,
366,ams011,myntra,,
367,ams012,myntra,,
368,ams013,myntra,,
369,ams014,myntra,,
370,abl000,myntra,,
371,abl001,myntra,,
372,abl002,myntra,,
373,abl003,myntra,,
374,abl004,myntra,,
375,abl005,myntra,,
376,abl006,myntra,,
377,abl007,myntra,,
378,hdb000,myntra,,
379,hdb001,myntra,,
380,hdb002,myntra,,
381,hdb005,myntra,,
382,hdb006,myntra,,
383,hdb007,myntra,,
384,hdb008,myntra,,
385,hdb009,myntra,,
386,hdd000,myntra,,
387,hdd001,myntra,,
388,hdd002,myntra,,
389,hdd004,myntra,,
390,hdd005,myntra,,
391,hdd006,myntra,,
392,hde001,myntra,,
393,hde003,myntra,,
394,hde004,myntra,,
395,hde005,myntra,,
396,hde006,myntra,,
397,hde010,myntra,,
398,hde011,myntra,,
399,hde012,myntra,,
400,hde013,myntra,,
402,msj000c,myntra,,
403,msj003c,myntra,,
404,msj006c,myntra,,
405,msj009c,myntra,,
406,msj012c,myntra,,
407,msj015c,myntra,,
408,mtk000c,myntra,,
409,mtk002c,myntra,,
410,mtk004c,myntra,,
411,mtk006c,myntra,,
412,mtk009c,myntra,,
413,mtk012c,myntra,,
414,mpd003c,myntra,,
415,mpd006c,myntra,,
416,mpd012c,myntra,,
417,wbk000c,myntra,,
418,wbk003c,myntra,,
419,wbk006c,myntra,,
420,wbk009c,myntra,,
421,wbk012c,myntra,,
422,wsd000c,myntra,,
423,wsd005c,myntra,,
424,wsd008c,myntra,,
425,wsd013c,myntra,,
426,wpd000c,myntra,,
427,wpd005c,myntra,,
428,wpd010c,myntra,,
430,aws000c,myntra,,
431,aws005c,myntra,,
432,aws010c,myntra,,
433,ams000c,myntra,,
434,ams005c,myntra,,
435,ams010c,myntra,,
436,abl006c,myntra,,
437,hdd001c,myntra,,
439,abl008,myntra,,
440,hdd003,myntra,,
441,hde007,myntra,,
442,hde008,myntra,,
445,hde009,myntra,,
446,hde014,myntra,,
447,hdb010,myntra,,
448,hbm000,myntra,,
449,hbm002,myntra,,
450,hbm003 ,myntra,,
456,mpd000c,myntra,,
457,mpd000,myntra,,
458,mpd001,myntra,,
459,mpd002,myntra,,
475,mpd00336,myntra,,
476,mpd00338,myntra,,
477,mpd00331,myntra,,
478,mpd00328,myntra,,
479,mpd00028,myntra,,
480,mpd00031,myntra,,
481,mpd00036,myntra,,
482,mpd00038,myntra,,
483,mtk004xs,myntra,,
484,mtk004m,myntra,,
485,mtk002s,myntra,,
486,mtk002xs,myntra,,
487,mtk002xl,myntra,,
488,mtk004xl,myntra,,
489,mtk000l,myntra,,
490,mtk000xl,myntra,,
491,mtk000xs,myntra,,
492,mtk006xs,myntra,,
493,mtk006xl,myntra,,
494,mtk009xs,myntra,,
495,mtk009xl,myntra,,
496,mtk012xs,myntra,,
497,mtk012xl,myntra,,
498,msj000xs,myntra,,
499,msj000xl,myntra,,
500,msj003xs,myntra,,
501,msj003xl,myntra,,
502,msj006xl,myntra,,
503,msj006xs,myntra,,
504,msj009xs,myntra,,
505,msj009xl,myntra,,
506,msj012xs,myntra,,
507,msj012xl,myntra,,
508,msj015xs,myntra,,
509,msj015xl,myntra,,
510,wbk000xs,myntra,,
511,wbk000xl,myntra,,
512,wbk003xs,myntra,,
513,wbk003xl,myntra,,
514,wbk006xs,myntra,,
515,wbk006xl,myntra,,
516,wbk009xs,myntra,,
517,wbk009xl,myntra,,
518,wbk012xs,myntra,,
519,wbk012xl,myntra,,
520,wpd00526,myntra,,
521,wpd00527,myntra,,
522,wpd00528,myntra,,
523,wpd00529,myntra,,
524,wpd00530,myntra,,
525,wpd00531,myntra,,
526,wpd00532,myntra,,
527,wpd00026,myntra,,
528,wpd00027,myntra,,
529,wpd00028,myntra,,
530,wpd00029,myntra,,
531,wpd00030,myntra,,
532,wpd00031,myntra,,
533,wpd00032,myntra,,
534,wpd01010,myntra,,
535,wpd0108,myntra,,
536,wpd0106,myntra,,
537,wpd0104,myntra,,
538,wpd01012,myntra,,
539,wsd005xs,myntra,,
540,wsd005xl,myntra,,
541,abl009,myntra,,
542,vip000,myntra,,
546,acj001c,myntra,,
547,acj00118,myntra,,
548,acj00124,myntra,,
549,acj0006s,myntra,,
551,acj003,myntra,,
552,acj004,myntra,,
553,acj000,myntra,,
554,acj005,myntra,,
555,acj007,myntra,,
557,hbm001,myntra,,
558,hbm005,myntra,,
559,hbm006,myntra,,
560,hbm007,myntra,,
561,hbm008,myntra,,
562,hbm009,myntra,,
563,hbm010,myntra,,
564,mem000,myntra,,
566,Pmo000xs,myntra,,
567,Pmo000s,myntra,,
568,Pmo000m,myntra,,
569,Pmo000l,myntra,,
570,Pmo000xl,myntra,,
571,Pmo001xs,myntra,,
572,Pmo001s,myntra,,
573,Pmo001m,myntra,,
574,Pmo001l,myntra,,
575,Pmo001xl,myntra,,
576,Pmo002xs,myntra,,
577,Pmo002s,myntra,,
578,Pmo002m,myntra,,
579,Pmo002l,myntra,,
580,Pmo002xl,myntra,,
581,Pmp00028,myntra,,
582,Pmp00030,myntra,,
583,Pmp00031,myntra,,
584,Pmp00032,myntra,,
585,Pmp00034,myntra,,
586,Pmp00036,myntra,,
587,Pmp00038,myntra,,
588,Pmp00128,myntra,,
589,Pmp00130,myntra,,
590,Pmp00131,myntra,,
591,Pmp00132,myntra,,
592,Pmp00134,myntra,,
593,Pmp00136,myntra,,
594,Pmp00138,myntra,,
595,Pmp00228,myntra,,
596,Pmp00230,myntra,,
597,Pmp00231,myntra,,
598,Pmp00232,myntra,,
599,Pmp00234,myntra,,
600,Pmp00236,myntra,,
601,Pmp00238,myntra,,
602,Pms000xs,myntra,,
603,Pms000s,myntra,,
604,Pms000m,myntra,,
605,Pms000l,myntra,,
606,Pms000xl,myntra,,
607,Pms002xs,myntra,,
608,Pms002s,myntra,,
609,Pms002m,myntra,,
610,Pms002l,myntra,,
611,Pms002xl,myntra,,
612,Pms003xs,myntra,,
613,Pms003s,myntra,,
614,Pms003m,myntra,,
615,Pms003l,myntra,,
616,Pms003xl,myntra,,
617,Pms004xs,myntra,,
618,Pms004s,myntra,,
619,Pms004m,myntra,,
620,Pms004l,myntra,,
621,Pms004xl,myntra,,
622,Pms005xs,myntra,,
623,Pms005s,myntra,,
624,Pms005m,myntra,,
625,Pms005l,myntra,,
626,Pms005xl,myntra,,
627,Pmtk000xs,myntra,,
628,Pmtk000s,myntra,,
629,Pmtk000m,myntra,,
630,Pmtk000l,myntra,,
631,Pmtk000xl,myntra,,
632,Pmtk001xs,myntra,,
633,Pmtk001s,myntra,,
634,Pmtk001m,myntra,,
635,Pmtk001l,myntra,,
636,Pmtk001xl,myntra,,
637,Pmtk004xs,myntra,,
638,Pmtk004s,myntra,,
639,Pmtk004m,myntra,,
640,Pmtk004l,myntra,,
641,Pmtk004xl,myntra,,
642,Pmtk005xs,myntra,,
643,Pmtk005s,myntra,,
644,Pmtk005m,myntra,,
645,Pmtk005l,myntra,,
646,Pmtk005xl,myntra,,
647,Pmtk006xs,myntra,,
648,Pmtk006s,myntra,,
649,Pmtk006m,myntra,,
650,Pmtk006l,myntra,,
651,Pmtk006xl,myntra,,
652,Pwb00026,myntra,,
653,Pwb00027,myntra,,
654,Pwb00028,myntra,,
655,Pwb00029,myntra,,
656,Pwb00030,myntra,,
657,Pwb00031,myntra,,
658,Pwb00032,myntra,,
659,Pwb00126,myntra,,
660,Pwb00127,myntra,,
661,Pwb00128,myntra,,
662,Pwb00129,myntra,,
663,Pwb00130,myntra,,
664,Pwb00131,myntra,,
665,Pwb00132,myntra,,
666,Pwb0030,myntra,,
667,Pwb0032,myntra,,
668,Pwb0034,myntra,,
669,Pwb0036,myntra,,
670,Pwb0038,myntra,,
671,Pwb00310,myntra,,
672,Pwb00312,myntra,,
673,Pwb00526,myntra,,
674,Pwb00527,myntra,,
675,Pwb00528,myntra,,
676,Pwb00529,myntra,,
677,Pwb00530,myntra,,
678,Pwb00531,myntra,,
679,Pwb00532,myntra,,
680,Pwb00626,myntra,,
681,Pwb00627,myntra,,
682,Pwb00628,myntra,,
683,Pwb00629,myntra,,
684,Pwb00630,myntra,,
685,Pwb00631,myntra,,
686,Pwb00632,myntra,,
687,Pwd0000,myntra,,
688,Pwd0002,myntra,,
689,Pwd0004,myntra,,
690,Pwd0006,myntra,,
691,Pwd0008,myntra,,
692,Pwd00010,myntra,,
693,Pwd00012,myntra,,
694,Pwd0010,myntra,,
695,Pwd0012,myntra,,
696,Pwd0014,myntra,,
697,Pwd0016,myntra,,
698,Pwd0018,myntra,,
699,Pwd00110,myntra,,
700,Pwd00112,myntra,,
701,Pwd0020,myntra,,
702,Pwd0022,myntra,,
703,Pwd0024,myntra,,
704,Pwd0026,myntra,,
705,Pwd0028,myntra,,
706,Pwd00210,myntra,,
707,Pwd00212,myntra,,
708,Pwt000xs,myntra,,
709,Pwt000s,myntra,,
710,Pwt000m,myntra,,
711,Pwt000l,myntra,,
712,Pwt000xl,myntra,,
713,Pwt001xs,myntra,,
714,Pwt001s,myntra,,
715,Pwt001m,myntra,,
716,Pwt001l,myntra,,
717,Pwt001xl,myntra,,
718,Pwt002xs,myntra,,
719,Pwt002s,myntra,,
720,Pwt002m,myntra,,
721,Pwt002l,myntra,,
722,Pwt002xl,myntra,,
723,Pwt003xs,myntra,,
724,Pwt003s,myntra,,
