product_id,product_sku,competitor_name,competitor_url,competitor_sku
231,msj000,wallmart,fdsf,fdsffdsfds
232,msj001,wallmart,,
233,msj002,wallmart,,
234,msj003,wallmart,,
235,msj004,wallmart,,
236,msj005,wallmart,,
237,msj006,wallmart,,
238,msj007,wallmart,,
239,msj008,wallmart,,
240,msj009,wallmart,,
241,msj010,wallmart,,
242,msj011,wallmart,,
243,msj012,wallmart,,
244,msj013,wallmart,,
245,msj014,wallmart,,
246,msj015,wallmart,,
247,msj016,wallmart,,
248,msj017,wallmart,,
249,mtk000,wallmart,,
250,mtk001,wallmart,,
251,mtk002,wallmart,,
252,mtk003,wallmart,,
253,mtk004,wallmart,,
254,mtk005,wallmart,,
255,mtk006,wallmart,,
256,mtk007,wallmart,,
257,mtk008,wallmart,,
258,mtk009,wallmart,,
259,mtk010,wallmart,,
260,mtk011,wallmart,,
261,mtk012,wallmart,,
262,mtk013,wallmart,,
263,mtk014,wallmart,,
267,mpd003,wallmart,,
268,mpd004,wallmart,,
269,mpd005,wallmart,,
270,mpd006,wallmart,,
271,mpd007,wallmart,,
272,mpd008,wallmart,,
273,mpd009,wallmart,,
274,mpd010,wallmart,,
275,mpd011,wallmart,,
276,mpd012,wallmart,,
277,mpd013,wallmart,,
278,mpd014,wallmart,,
279,mpd015,wallmart,,
280,mpd016,wallmart,,
281,mpd017,wallmart,,
282,wbk000,wallmart,,
283,wbk001,wallmart,,
284,wbk002L,wallmart,,
285,wbk003,wallmart,,
286,wbk004,wallmart,,
287,wbk005,wallmart,,
288,wbk006,wallmart,,
289,wbk007,wallmart,,
290,wbk008,wallmart,,
291,wbk009,wallmart,,
292,wbk010,wallmart,,
293,wbk011,wallmart,,
294,wbk012,wallmart,,
295,wbk013,wallmart,,
296,wbk014,wallmart,,
297,wsd000,wallmart,,
298,wsd001,wallmart,,
299,wsd002,wallmart,,
300,wsd003,wallmart,,
301,wsd004,wallmart,,
302,wsd005,wallmart,,
303,wsd006,wallmart,,
304,wsd007,wallmart,,
305,wsd008,wallmart,,
306,wsd009,wallmart,,
307,wsd010,wallmart,,
308,wsd011,wallmart,,
309,wsd012,wallmart,,
310,wsd013,wallmart,,
311,wsd014,wallmart,,
312,wsd015,wallmart,,
313,wsd016,wallmart,,
314,wsd017,wallmart,,
325,wpd010,wallmart,,
326,wpd011,wallmart,,
327,wpd012,wallmart,,
328,wpd013,wallmart,,
329,wpd014,wallmart,,
337,ace000,wallmart,,
338,ace001,wallmart,,
339,ace002,wallmart,,
340,aws000,wallmart,,
341,aws001,wallmart,,
342,aws002,wallmart,,
343,aws003,wallmart,,
344,aws004,wallmart,,
345,aws005,wallmart,,
346,aws006,wallmart,,
347,aws007,wallmart,,
348,aws008,wallmart,,
349,aws009,wallmart,,
350,aws010,wallmart,,
351,aws011,wallmart,,
352,aws012,wallmart,,
353,aws013,wallmart,,
354,aws014,wallmart,,
355,ams000,wallmart,,
356,ams001,wallmart,,
357,ams002,wallmart,,
358,ams003,wallmart,,
359,ams004,wallmart,,
360,ams005,wallmart,,
361,ams006,wallmart,,
362,ams007,wallmart,,
363,ams008,wallmart,,
364,ams009,wallmart,,
365,ams010,wallmart,,
366,ams011,wallmart,,
367,ams012,wallmart,,
368,ams013,wallmart,,
369,ams014,wallmart,,
370,abl000,wallmart,,
371,abl001,wallmart,,
372,abl002,wallmart,,
373,abl003,wallmart,,
374,abl004,wallmart,,
375,abl005,wallmart,,
376,abl006,wallmart,,
377,abl007,wallmart,,
378,hdb000,wallmart,,
379,hdb001,wallmart,,
380,hdb002,wallmart,,
381,hdb005,wallmart,,
382,hdb006,wallmart,,
383,hdb007,wallmart,,
384,hdb008,wallmart,,
385,hdb009,wallmart,,
386,hdd000,wallmart,,
387,hdd001,wallmart,,
388,hdd002,wallmart,,
389,hdd004,wallmart,,
390,hdd005,wallmart,,
391,hdd006,wallmart,,
392,hde001,wallmart,,
393,hde003,wallmart,,
394,hde004,wallmart,,
395,hde005,wallmart,,
396,hde006,wallmart,,
397,hde010,wallmart,,
398,hde011,wallmart,,
399,hde012,wallmart,,
400,hde013,wallmart,,
402,msj000c,wallmart,,
403,msj003c,wallmart,,
404,msj006c,wallmart,,
405,msj009c,wallmart,,
406,msj012c,wallmart,,
407,msj015c,wallmart,,
408,mtk000c,wallmart,,
409,mtk002c,wallmart,,
410,mtk004c,wallmart,,
411,mtk006c,wallmart,,
